Benchmark,Method,# of targets<sup>a</sup>,,ROC<sup>b</sup>
,,<strong>Positive</strong>,<strong>Negative</strong>,
All genes,All,1992,3566,
,SVM,1062,1668,0.55
,PITA,861,1225,0.55
,TargetScan,446,430,0.55
,miRanda,113,184,0.5
,PITA_top,140,106,0.52
,TargetScan_consv,191,123,0.53
,mirTarget2,99,63,0.52
,PicTar,100,75,0.51
ROC10*n,All,1992,30,
,SVM,63,30,0.0196
,PITA,30,30,0.0055
,TargetScan,56,30,0.016
,miRanda,21,30,0.0069
,PITA_top,51,30,0.0155
,TargetScan_consv,53,30,0.017
,mirTarget2,57,30,0.014
,PicTar,54,30,0.0138
7mer + Conservation,All,364,380,
,SVM,331,311,0.6
,PITA,322,301,0.57
,TargetScan,300,239,0.63
,miRanda,113,184,0.41
,PITA_top,140,106,0.56
,TargetScan_consv,191,123,0.61
,mirTarget2,99,63,0.55
,PicTar,100,75,0.54
TargetScan,All,192,126,
,SVM,184,121,0.56
,PITA,181,118,0.51
,TargetScan,191,123,0.58
,miRanda,36,24,0.5
,PITA_top,115,69,0.55
,TargetScan_consv,191,123,0.58
,mirTarget2,68,34,0.55
,PicTar,63,46,0.49
miRanda,All,113,184,
,SVM,89,120,0.64
,PITA,91,121,0.6
,TargetScan,67,67,0.61
,miRanda,113,184,0.49
,PITA_top,27,26,0.56
,TargetScan_consv,36,23,0.59
,mirTarget2,27,17,0.57
,PicTar,22,10,0.57
PicTar,All,100,75,
,SVM,100,73,0.59
,PITA,97,65,0.65
,TargetScan,89,61,0.64
,miRanda,22,10,0.54
,PITA_top,56,34,0.6
,TargetScan_consv,63,45,0.59
,mirTarget2,37,16,0.59
,PicTar,100,75,0.58
